OBJECTID_1,TotalPop,PctMen,PctWomen,MedAge,MedAgeMen,MedAgeWomen,PctWhite,PctBlack,PctNative,PctAsian,PctPacIsl,PctOther,PctTwoPlus,PctForeignBorn,PctLatino,MedHHincome,PctPoverty,PctEmployed,PctHS,PctAss,PctBac,PctMas,PctProf,PctDoc,Count_,Sum_Krasner,Sum_Khan,Sum_Untermeyer,Sum_El_Shabazz,Sum_Negrin,Sum_Deni,Sum_O_Neill,Sum_Write_In,Sum_Total,Pct_Krasner,Pct_Khan,Pct_Untermeyer,Pct_El_Shabazz,Pct_Negrin,Pct_Deni,Pct_ONeill,Pct_Write_In
310,4193,0.410200000000000,0.589800000000000,37.000000000000000,37.299999999999997,36.299999999999997,0.107798712000000,0.786072025000000,0,0,0,0.029573098000000,0,0.037400000000000,0.037400000000000,26532,0.284000000000000,0.392600000000000,0.300600000000000,0.111300000000000,0.067200000000000,0.068700000000000,0.002800000000000,0.005700000000000,8,280,112,60,113,139,9,5,0,718,38.997214484679667,15.598885793871867,8.356545961002786,15.738161559888580,19.359331476323121,1.253481894150418,0.696378830083565,0.000000000000000
311,5079,0.408300000000000,0.591700000000000,31.600000000000001,31.199999999999999,31.899999999999999,0.110848592000000,0.847410908000000,0,0,0,0.005709785000000,0,0.084300000000000,0.095500000000000,24965,0.400100000000000,0.386300000000000,0.438800000000000,0.090400000000000,0.046200000000000,0.022000000000000,0.000000000000000,0.003600000000000,7,166,70,56,101,74,4,6,0,477,34.800838574423480,14.675052410901468,11.740041928721174,21.174004192872118,15.513626834381553,0.838574423480084,1.257861635220126,0.000000000000000
312,6121,0.431600000000000,0.568400000000000,35.000000000000000,32.600000000000001,37.899999999999999,0.232641725000000,0.692533900000000,0,0,0,0.009312204000000,0,0.026100000000000,0.037900000000000,24223,0.398800000000000,0.317100000000000,0.412100000000000,0.065100000000000,0.039500000000000,0.015400000000000,0.000000000000000,0.000000000000000,8,127,73,58,96,128,13,39,0,534,23.782771535580522,13.670411985018728,10.861423220973784,17.977528089887642,23.970037453183522,2.434456928838952,7.303370786516854,0.000000000000000
313,4762,0.497900000000000,0.502100000000000,32.600000000000001,32.600000000000001,32.600000000000001,0.515959681000000,0.302183956000000,0,0,0,0.002729945000000,0,0.093400000000000,0.052500000000000,50640,0.114900000000000,0.596200000000000,0.130600000000000,0.033500000000000,0.289000000000000,0.144200000000000,0.044300000000000,0.078300000000000,6,1239,162,25,47,81,7,11,0,1572,78.816793893129770,10.305343511450381,1.590330788804071,2.989821882951654,5.152671755725191,0.445292620865140,0.699745547073791,0.000000000000000
314,4215,0.542600000000000,0.457400000000000,33.399999999999999,34.000000000000000,31.199999999999999,0.590035587000000,0.266429419000000,0,0,0,0.012336892000000,0,0.161100000000000,0.052900000000000,41528,0.197900000000000,0.567700000000000,0.103300000000000,0.039600000000000,0.306700000000000,0.180900000000000,0.018300000000000,0.081500000000000,4,997,155,19,26,56,8,10,0,1271,78.442171518489374,12.195121951219512,1.494885916601102,2.045633359559402,4.405979543666405,0.629425649095201,0.786782061369001,0.000000000000000
315,3683,0.443400000000000,0.556600000000000,32.899999999999999,33.899999999999999,32.200000000000003,0.156937279000000,0.701058919000000,0,0,0,0.007059462000000,0,0.037700000000000,0.061400000000000,31311,0.324900000000000,0.380900000000000,0.348200000000000,0.039400000000000,0.195600000000000,0.053400000000000,0.003600000000000,0.011200000000000,6,588,99,44,138,45,10,7,0,931,63.157894736842103,10.633727175080558,4.726100966702471,14.822771213748656,4.833512352309345,1.074113856068743,0.751879699248120,0.000000000000000
316,6896,0.456900000000000,0.543100000000000,41.899999999999999,35.600000000000001,46.500000000000000,0.000435035000000,0.979698376000000,0,0,0,0.000000000000000,0,0.075300000000000,0.000700000000000,35778,0.265500000000000,0.266800000000000,0.373600000000000,0.092200000000000,0.072900000000000,0.050200000000000,0.000000000000000,0.000000000000000,9,373,148,232,237,91,16,21,0,1118,33.363148479427551,13.237924865831843,20.751341681574239,21.198568872987479,8.139534883720931,1.431127012522361,1.878354203935599,0.000000000000000
317,4740,0.471300000000000,0.528700000000000,48.200000000000003,48.000000000000000,48.299999999999997,0.018143460000000,0.941561181000000,0,0,0,0.016033755000000,0,0.042800000000000,0.026200000000000,27957,0.206500000000000,0.308200000000000,0.439800000000000,0.070100000000000,0.073900000000000,0.021900000000000,0.003200000000000,0.000000000000000,5,135,71,125,105,57,5,11,0,509,26.522593320235753,13.948919449901767,24.557956777996072,20.628683693516699,11.198428290766209,0.982318271119843,2.161100196463654,0.000000000000000
318,6916,0.450300000000000,0.549700000000000,33.899999999999999,28.699999999999999,35.200000000000003,0.179728167000000,0.649652979000000,0,0,0,0.013591671000000,0,0.095300000000000,0.027800000000000,17683,0.460200000000000,0.297000000000000,0.288700000000000,0.057100000000000,0.074300000000000,0.013500000000000,0.000000000000000,0.011700000000000,9,126,90,97,77,102,14,25,0,531,23.728813559322035,16.949152542372879,18.267419962335214,14.500941619585687,19.209039548022599,2.636534839924670,4.708097928436912,0.000000000000000
319,6186,0.405400000000000,0.594600000000000,30.199999999999999,28.500000000000000,30.600000000000001,0.104752667000000,0.736340123000000,0,0,0,0.010669253000000,0,0.066900000000000,0.088100000000000,36138,0.290100000000000,0.393500000000000,0.392400000000000,0.090200000000000,0.061800000000000,0.031700000000000,0.002400000000000,0.000000000000000,7,243,87,56,96,59,8,9,0,558,43.548387096774192,15.591397849462366,10.035842293906811,17.204301075268820,10.573476702508961,1.433691756272401,1.612903225806452,0.000000000000000
