"DistName",County,Precinct,King,Smucker,WriteIn,Total,KingPct,SmuckPct,WIPct
"6905",Lancaster,Warwick Twp - Clay Newport Dist,557,679,1,1237,45.03,54.89,0.08
"6906",Lancaster,Warwick Twp - Hilltop Manor Dist,206,438,,644,31.99,68.01,0.00
"6908",Lancaster,Warwick Twp - Millport Dist,217,451,,668,32.49,67.51,0.00
"6909",Lancaster,Warwick Twp - Newport West Dist,455,655,1,1111,40.95,58.96,0.09
"6910",Lancaster,Warwick Twp - Southwest Dist,557,717,1,1275,43.69,56.24,0.08
"21-1-0-0",York,Chanceford Township 1,307,777,1,1085,28.29,71.61,0.09
"21-2-0-0",York,Chanceford Township 2,83,324,,407,20.39,79.61,0.00
"21-3-0-0",York,Chanceford Township 3,181,526,1,708,25.56,74.29,0.14
"22-1-0-0",York,Codorus Township 1,156,396,1,553,28.21,71.61,0.18
"22-2-0-0",York,Codorus Township 2,168,417,,585,28.72,71.28,0.00
"22-3-0-0",York,Codorus Township 3,199,362,,561,35.47,64.53,0.00
"25-0-0-0",York,East Hopewell Township,295,777,,1072,27.52,72.48,0.00
"28-0-0-0",York,Fawn Township,226,949,2,1177,19.20,80.63,0.17
"30-0-0-0",York,Heidelberg Township,350,920,,1270,27.56,72.44,0.00
"31-1-0-0",York,Hellam Township 1,392,771,,1163,33.71,66.29,0.00
"31-2-0-0",York,Hellam Township 2,455,921,2,1378,33.02,66.84,0.15
"32-0-0-0",York,Hopewell Township,692,1720,1,2413,28.68,71.28,0.04
"33-1-0-0",York,Jackson Township 1,474,1086,2,1562,30.35,69.53,0.13
"33-2-0-0",York,Jackson Township 2,532,979,1,1512,35.19,64.75,0.07
"34-1-0-0",York,Lower Chanceford Township 1,107,305,1,413,25.91,73.85,0.24
"34-2-0-0",York,Lower Chanceford Township 2,118,462,2,582,20.27,79.38,0.34
"35-1-0-0",York,Lower Windsor Township 1,139,328,,467,29.76,70.24,0.00
"35-2-0-0",York,Lower Windsor Township 2,300,674,,974,30.80,69.20,0.00
"35-3-0-0",York,Lower Windsor Township 3,363,1007,1,1371,26.48,73.45,0.07
"37-0-0-0",York,Manheim Township,394,1115,3,1512,26.06,73.74,0.20
"40-1-0-0",York,North Codorus Township 1,770,1574,1,2345,32.84,67.12,0.04
"40-2-0-0",York,North Codorus Township 2,377,1021,1,1399,26.95,72.98,0.07
"41-0-0-0",York,North Hopewell Township,258,914,1,1173,21.99,77.92,0.09
"42-0-0-0",York,Paradise Township,370,1127,,1497,24.72,75.28,0.00
"43-0-0-0",York,Peach Bottom Township,390,1317,2,1709,22.82,77.06,0.12
"44-1-0-0",York,Penn Township 1,517,959,1,1477,35.00,64.93,0.07
"44-2-0-0",York,Penn Township 2,483,1036,1,1520,31.78,68.16,0.07
"44-3-0-0",York,Penn Township 3,294,426,1,721,40.78,59.08,0.14
"44-4-0-0",York,Penn Township 4,700,1404,3,2107,33.22,66.64,0.14
"45-1-0-0",York,Shrewsbury Township 1,367,795,0,1162,31.58,68.42,0.00
"45-2-0-0",York,Shrewsbury Township 2,744,1288,0,2032,36.61,63.39,0.00
"47-0-0-0",York,Springfield Township,1014,1654,4,2672,37.95,61.90,0.15
"52-0-0-0",York,West Manheim Township,980,2162,2,3144,31.17,68.77,0.06
"53-1-0-0",York,Windsor Township 1,901,1497,5,2403,37.49,62.30,0.21
"53-2-0-0",York,Windsor Township 2,401,999,,1400,28.64,71.36,0.00
"53-3-0-0",York,Windsor Township 3,577,1017,,1594,36.20,63.80,0.00
"53-4-0-0",York,Windsor Township 4,708,1229,2,1939,36.51,63.38,0.10
"54-0-2-1",York,York Township 2-1,356,504,,860,41.40,58.60,0.00
"54-0-2-2",York,York Township 2-2,206,445,1,652,31.60,68.25,0.15
"54-0-2-3",York,York Township 2-3,384,658,2,1044,36.78,63.03,0.19
"55-0-0-0",York,Cross Roads Borough,50,165,,215,23.26,76.74,0.00
"56-0-1-0",York,Dallastown Borough 1,248,318,,566,43.82,56.18,0.00
"56-0-2-0",York,Dallastown Borough 2,298,425,1,724,41.16,58.70,0.14
"57-0-0-0",York,Delta Borough,51,172,1,224,22.77,76.79,0.45
