Precinct,DistName,DISTID,County,King,Smucker,WriteIn,Total,KingPct,SmuckPct,WIPct,Wolf,Wagner,Glover,Krawchuk,Write In,Total,WolfPct,WagnerPct,KingWolfdiff,Clinton,Trump,Castle,Stein,Johnson,Write In,Total,ClintonPct,TrumpPct,KingClintDiff,Casey,Barletta,Gale,Kerns,Write In,SenTotal,CaseyPct,BarlettaPct,KingCaseyDiff
Ephrata Boro - 3rd Ward,1703,L1703,Lancaster,570,832,1,1403,40.63,59.30,0.07,596,783,7,12,0,1398,42.63,56.01,-2.01,562,1129,12,19,76,25,1823,30.83,61.93,9.80,578,789,12,17,,1396,41.40,56.52,-0.78
Ephrata Boro - 4th Ward,1704,L1704,Lancaster,356,586,0,942,37.79,62.21,0.00,399,523,6,13,1,942,42.36,55.52,-4.56,375,731,2,14,55,12,1189,31.54,61.48,6.25,374,542,10,22,1,949,39.41,57.11,-1.62
Lititz Boro - 1st Ward - 1st Precinct,1801,L1801,Lancaster,278,177,1,456,60.96,38.82,0.22,282,159,5,8,0,454,62.11,35.02,-1.15,236,261,4,10,22,17,550,42.91,47.45,18.06,281,167,5,3,1,457,61.49,36.54,-0.52
Lititz Boro - 1st Ward - 2nd Precinct,1802,L1802,Lancaster,300,275,0,575,52.17,47.83,0.00,326,238,1,9,0,574,56.79,41.46,-4.62,313,323,5,5,20,9,675,46.37,47.85,5.80,305,256,3,8,1,573,53.23,44.68,-1.05
Lititz Boro - 2nd Ward - 1st Precinct,1803,L1803,Lancaster,283,299,0,582,48.63,51.37,0.00,300,269,5,8,0,582,51.55,46.22,-2.92,276,397,2,6,35,17,733,37.65,54.16,10.97,284,286,7,8,,585,48.55,48.89,0.08
Lititz Boro - 2nd Ward - 2nd Precinct,1804,L1804,Lancaster,370,418,2,790,46.84,52.91,0.25,383,386,4,15,1,789,48.54,48.92,-1.71,331,529,10,6,44,9,929,35.63,56.94,11.21,373,395,9,16,,793,47.04,49.81,-0.20
Lititz Boro - 3rd Ward - 1st Precinct,1805,L1805,Lancaster,459,400,3,862,53.25,46.40,0.35,488,359,1,11,0,859,56.81,41.79,-3.56,365,421,4,7,33,19,849,42.99,49.59,10.26,471,373,6,12,,862,54.64,43.27,-1.39
Lititz Boro - 3rd Ward - 2nd Precinct,1806,L1806,Lancaster,512,511,0,1023,50.05,49.95,0.00,532,467,8,17,1,1025,51.90,45.56,-1.85,507,644,7,11,42,13,1224,41.42,52.61,8.63,504,490,14,13,,1021,49.36,47.99,0.69
Manheim Boro - 1st Ward,1901,L1901,Lancaster,390,591,1,982,39.71,60.18,0.10,414,544,8,10,5,981,42.20,55.45,-2.49,369,767,6,12,43,25,1222,30.20,62.77,9.52,401,560,12,10,1,984,40.75,56.91,-1.04
Manheim Boro - 2nd Ward,1902,L1902,Lancaster,326,440,0,766,42.56,57.44,0.00,330,415,5,15,1,766,43.08,54.18,-0.52,327,617,8,17,41,17,1027,31.84,60.08,10.72,317,421,10,18,,766,41.38,54.96,1.17
Marietta Boro - 1st Dist,2001,L2001,Lancaster,275,257,0,532,51.69,48.31,0.00,291,228,1,8,2,530,54.91,43.02,-3.21,271,337,5,13,33,11,670,40.45,50.30,11.24,272,239,5,14,,530,51.32,45.09,0.37
Marietta Boro - 2nd Dist,2002,L2002,Lancaster,235,241,0,476,49.37,50.63,0.00,248,210,4,14,0,476,52.10,44.12,-2.73,235,323,4,6,18,9,595,39.50,54.29,9.87,245,212,7,10,,474,51.69,44.73,-2.32
Millersville Boro - 1st Dist,2101,L2101,Lancaster,356,261,1,618,57.61,42.23,0.16,391,218,1,9,0,619,63.17,35.22,-5.56,329,346,7,7,34,23,746,44.10,46.38,13.50,357,247,4,10,,618,57.77,39.97,-0.16
Millersville Boro - 2nd Dist,2102,L2102,Lancaster,370,350,1,721,51.32,48.54,0.14,392,309,2,11,2,716,54.75,43.16,-3.43,373,425,3,5,35,17,858,43.47,49.53,7.84,373,330,5,10,,718,51.95,45.96,-0.63
Millersville Boro - 3rd Dist,2103,L2103,Lancaster,376,259,2,637,59.03,40.66,0.31,397,224,8,8,0,637,62.32,35.16,-3.30,393,314,,10,33,10,760,51.71,41.32,7.32,381,242,10,5,1,639,59.62,37.87,-0.60
Millersville Boro - 4th Dist,2104,L2104,Lancaster,436,176,0,612,71.24,28.76,0.00,440,145,11,17,1,614,71.66,23.62,-0.42,550,295,4,20,50,13,932,59.01,31.65,12.23,421,164,13,16,,614,68.57,26.71,2.68
Mount Joy Boro - East Ward,2301,L2301,Lancaster,273,378,0,651,41.94,58.06,0.00,317,314,4,7,1,643,49.30,48.83,-7.36,274,460,7,12,42,15,810,33.83,56.79,8.11,294,341,5,9,,649,45.30,52.54,-3.36
Mount Joy Boro - Florin Ward,2302,L2302,Lancaster,637,941,3,1581,40.29,59.52,0.19,714,834,8,25,0,1581,45.16,52.75,-4.87,660,1188,8,12,122,27,2017,32.72,58.90,7.57,652,878,8,43,,1581,41.24,55.53,-0.95
Mount Joy Boro - West Ward,2303,L2303,Lancaster,402,537,1,940,42.77,57.13,0.11,454,471,6,7,0,938,48.40,50.21,-5.63,376,671,4,9,37,25,1122,33.51,59.80,9.25,415,506,7,18,,946,43.87,53.49,-1.10
Mountville Boro,2400,L2400,Lancaster,559,617,1,1177,47.49,52.42,0.08,619,537,2,20,0,1178,52.55,45.59,-5.05,595,774,6,12,55,16,1458,40.81,53.09,6.68,583,574,8,19,,1184,49.24,48.48,-1.75
New Holland Boro - 1st Dist,2501,L2501,Lancaster,259,479,1,739,35.05,64.82,0.14,289,435,4,7,0,735,39.32,59.18,-4.27,297,584,6,11,30,14,942,31.53,62.00,3.52,278,452,4,5,,739,37.62,61.16,-2.57
New Holland Boro - 2nd Dist,2502,L2502,Lancaster,366,570,1,937,39.06,60.83,0.11,385,521,9,22,1,938,41.04,55.54,-1.98,362,661,13,10,56,18,1120,32.32,59.02,6.74,362,545,9,18,1,935,38.72,58.29,0.34
New Holland Boro - 3rd Dist,2503,L2503,Lancaster,164,396,0,560,29.29,70.71,0.00,190,358,1,7,0,556,34.17,64.39,-4.89,149,420,6,2,22,7,606,24.59,69.31,4.70,174,371,7,5,,557,31.24,66.61,-1.95
Quarryville Boro,2600,L2600,Lancaster,288,699,0,987,29.18,70.82,0.00,337,624,2,17,3,983,34.28,63.48,-5.10,306,822,10,7,36,22,1203,25.44,68.33,3.74,323,648,5,15,,991,32.59,65.39,-3.41
Strasburg Boro - 1st Ward,2701,L2701,Lancaster,315,463,0,778,40.49,59.51,0.00,344,410,7,13,1,775,44.39,52.90,-3.90,283,514,10,13,40,9,869,32.57,59.15,7.92,319,438,7,15,,779,40.95,56.23,-0.46
Strasburg Boro - 3rd Ward,2703,L2703,Lancaster,267,394,0,661,40.39,59.61,0.00,277,365,5,10,2,659,42.03,55.39,-1.64,252,482,4,4,32,10,784,32.14,61.48,8.25,268,366,8,17,1,660,40.61,55.45,-0.21
Terre Hill Boro,2800,L2800,Lancaster,107,384,0,491,21.79,78.21,0.00,115,362,3,10,0,490,23.47,73.88,-1.68,104,473,4,4,19,11,615,16.91,76.91,4.88,112,368,1,8,,489,22.90,75.26,-1.11
Bart Twp,2900,L2900,Lancaster,142,419,1,562,25.27,74.56,0.18,164,384,4,5,0,557,29.44,68.94,-4.18,143,512,6,3,15,7,686,20.85,74.64,4.42,150,393,7,7,,557,26.93,70.56,-1.66
Brecknock Twp - Bowmansville Dist,3001,L3001,Lancaster,403,1168,1,1572,25.64,74.30,0.06,455,1088,4,22,1,1570,28.98,69.30,-3.34,398,1353,13,4,68,30,1866,21.33,72.51,4.31,431,1096,10,19,1,1557,27.68,70.39,-2.05
Brecknock Twp - Muddy Creek Dist,3002,L3002,Lancaster,141,661,0,802,17.58,82.42,0.00,171,620,3,8,0,802,21.32,77.31,-3.74,133,796,9,6,28,13,985,13.50,80.81,4.08,153,634,3,10,,800,19.13,79.25,-1.54
Caernarvon Twp,3100,L3100,Lancaster,257,938,1,1196,21.49,78.43,0.08,286,890,6,12,0,1194,23.95,74.54,-2.46,276,1124,11,10,37,14,1472,18.75,76.36,2.74,277,907,4,11,,1199,23.10,75.65,-1.61
Clay Twp - North,3201,L3201,Lancaster,228,766,0,994,22.94,77.06,0.00,256,718,2,9,1,986,25.96,72.82,-3.03,197,943,17,10,37,14,1218,16.17,77.42,6.76,241,744,3,8,,996,24.20,74.70,-1.26
Clay Twp - South,3202,L3202,Lancaster,471,979,0,1450,32.48,67.52,0.00,546,874,5,23,1,1449,37.68,60.32,-5.20,453,1166,9,18,52,25,1723,26.29,67.67,6.19,515,922,3,10,,1450,35.52,63.59,-3.03
Cocalico East Twp - Smokestown Dist,3301,L3301,Lancaster,225,850,0,1075,20.93,79.07,0.00,265,794,4,12,2,1077,24.61,73.72,-3.68,269,1050,12,5,34,9,1379,19.51,76.14,1.42,259,802,5,5,1,1072,24.16,74.81,-3.23
Cocalico East Twp - Swartzville Dist,3302,L3302,Lancaster,292,496,0,788,37.06,62.94,0.00,338,438,2,10,0,788,42.89,55.58,-5.84,318,550,5,3,33,11,920,34.57,59.78,2.49,315,458,1,12,,786,40.08,58.27,-3.02
Cocalico East Twp - Stevens Dist,3303,L3303,Lancaster,246,546,3,795,30.94,68.68,0.38,284,502,2,7,3,798,35.59,62.91,-4.65,233,677,11,10,37,11,979,23.80,69.15,7.14,255,522,4,8,1,790,32.28,66.08,-1.34
Cocalico East Twp - Reamstown Dist,3304,L3304,Lancaster,357,791,1,1149,31.07,68.84,0.09,391,739,6,13,0,1149,34.03,64.32,-2.96,349,997,16,14,51,14,1441,24.22,69.19,6.85,370,756,7,12,,1145,32.31,66.03,-1.24
